Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
EUR,20200708  13:05:00,1.1357,1.1359,1.13565,1.13565,406,1.135755,164,5,-0.0001065,-0.000396,0.000927,NO,NO
EUR,20200708  13:10:00,1.1356,1.1356,1.1354,1.13545,366,1.1355,130,10,-0.000801,-0.000636,-8.55E-05,BUY,NO
EUR,20200708  13:15:00,1.13545,1.13555,1.13535,1.13545,461,1.13542,171,15,-0.001056,-0.000459,-0.0004005,BUY,NO
EUR,20200708  13:20:00,1.13545,1.13555,1.135,1.13505,463,1.135325,196,20,-0.0010095,-0.000471,-0.0008235,NO,NO
EUR,20200708  13:25:00,1.13505,1.1351,1.13475,1.13495,720,1.134875,258,25,-0.001254,-0.001494,-0.00225,SELL,NO
EUR,20200708  13:30:00,1.135,1.1355,1.13495,1.13545,401,1.13524,145,30,-0.00063,-0.000681,-0.000144,NO,NO
EUR,20200708  13:35:00,1.13545,1.13565,1.1354,1.1355,481,1.13554,170,35,-8.55E-05,2.1E-05,0.00117,BUY,NO
EUR,20200708  13:40:00,1.1355,1.13565,1.13545,1.13545,336,1.13554,126,40,2.25E-05,-3.3E-05,0.001062,NO,NO
EUR,20200708  13:45:00,1.13545,1.13565,1.13535,1.1355,333,1.135485,135,45,-1.5E-05,-3.6E-05,0.0006705,NO,NO
EUR,20200708  13:50:00,1.1355,1.1356,1.13505,1.1351,757,1.135345,241,50,-0.0002145,0.000156,-0.0003825,NO,NO
EUR,20200708  13:55:00,1.1351,1.13525,1.1348,1.1351,508,1.13496,186,55,-0.0006855,-0.000612,-0.001863,NO,NO
EUR,20200708  14:00:00,1.1351,1.1355,1.135,1.135,492,1.135305,224,0,-0.0002985,0.000144,-9.9E-05,NO,NO
EUR,20200708  14:05:00,1.13505,1.1354,1.135,1.13515,354,1.13519,143,5,-0.000372,-0.000261,-0.0003015,NO,NO
EUR,20200708  14:10:00,1.1351,1.1353,1.13505,1.1353,361,1.135165,152,10,-0.000138,-0.000687,-0.000126,NO,NO
