Currency,YYYYMMDD_HHMMSS,Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
CHF,20200630  14:05:00,1.0583,1.0584,1.0583,1.0584,65,1.05832,26,5,-0.000438,-0.000978,-0.000549,NO,NO
CHF,20200630  14:10:00,1.0584,1.0584,1.0582,1.0583,66,1.05831,28,10,-0.000618,-0.000672,-0.000441,NO,NO
CHF,20200630  14:15:00,1.0583,1.0584,1.0582,1.0582,51,1.05834,26,15,-0.000693,-0.000366,-4.5E-05,BUY,NO
CHF,20200630  14:20:00,1.0582,1.0583,1.058,1.0582,41,1.05813,27,20,-0.000855,-0.000876,-0.000621,NO,NO
CHF,20200630  14:25:00,1.0581,1.0584,1.0581,1.0584,43,1.05824,16,25,-0.000585,-0.000558,-0.000126,BUY,NO
CHF,20200630  14:30:00,1.0585,1.0586,1.0584,1.0586,29,1.05851,19,30,-9.6E-05,0.000186,0.000918,BUY,NO
CHF,20200630  14:35:00,1.0586,1.0588,1.0585,1.0588,33,1.05866,14,35,0.000201,0.000738,0.001278,BUY,NO
CHF,20200630  14:40:00,1.0587,1.0588,1.0583,1.0585,158,1.0585,59,40,6E-06,0.000474,0.000414,NO,NO
CHF,20200630  14:45:00,1.0585,1.0585,1.0583,1.0583,57,1.05832,26,45,-0.000183,0.000108,-0.000567,NO,NO
CHF,20200630  14:50:00,1.0583,1.0585,1.0583,1.0585,48,1.0584,23,50,-3.9E-05,0.000348,-0.000351,NO,NO
CHF,20200630  14:55:00,1.0585,1.0586,1.0577,1.0577,1081,1.058,233,55,-0.000423,-0.000732,-0.001692,SELL,NO
CHF,20200630  15:00:00,1.0577,1.0581,1.0575,1.0576,308,1.0578,185,0,-0.000603,-0.001404,-0.001818,SELL,NO
CHF,20200630  15:05:00,1.0576,1.0576,1.0574,1.0575,86,1.05752,63,5,-0.000906,-0.002298,-0.002196,NO,NO
CHF,20200630  15:10:00,1.0575,1.0579,1.0575,1.0579,31,1.05775,14,10,-0.000606,-0.001794,-0.000648,NO,NO
CHF,20200630  15:15:00,1.058,1.0581,1.0579,1.0579,87,1.05797,33,15,-0.000402,-0.0012,0.000729,NO,NO
CHF,20200630  15:20:00,1.0578,1.0578,1.0578,1.0578,19,1.0578,6,20,-0.000702,-0.001212,0.000144,NO,NO
CHF,20200630  15:25:00,1.0579,1.0579,1.0578,1.0578,27,1.05781,11,25,-0.000801,-0.000768,0.00018,BUY,NO
